Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,08_Machinery and equipment manufacturing,2022,479,R,NZ Dollars (millions),12 and 28,8.3,Published_Industry
_14c_Purpose_of_research:_Other,Size,06_100 or more employees,2022,132,R,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,20.4,Size
_21_Personnel_by_Occupation:_Headcount:_Total,Industry,02_Manufacturing Industry Group,2023,7500,R,Number of employees,14 and 28,6.6,Industry
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2022,89,R,NZ Dollars (millions),12,42.8,Published_Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Industry,02_Manufacturing Industry Group,2022,306,R,NZ Dollars (millions),12 and 28,8.2,Industry
_16_Type_of_research:_Applied,Published_Industry,10_Wholesale trade,2023,79,R,NZ Dollars (millions),12 and 25 and 28,16.9,Published_Industry
_31_Personnel_by_Qualification:_Headcount:_Total,Industry,03_Services Industry Group,2023,21000,R,Number of employees,14 and 28,7.7,Industry
_07a_Source_of_Funds:_New_Zealand_Government_Public_sector:_NZ_central_government_funding_agencies,Industry,03_Services Industry Group,2022,170,R,NZ Dollars (millions),12 and 28,14.6,Industry
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,2325,R,NZ Dollars (millions),12,5.7,ANZSIC_1_Digit
_19_Personnel_by_Occupation:_Headcount:_Technician,Published_Industry,12_Computer services,2022,3600,R,Number of employees,14 and 28,15,Published_Industry
_36_Personnel_by_Qualification:_FTE:_Other_qualifications,ANZSIC_1_Digit,C_Manufacturing,2022,620,R,Number of employees,14 and 28,9.4,ANZSIC_1_Digit
_12b_Purpose_of_research:_Manufacturing,Industry,02_Manufacturing Industry Group,2023,373,R,NZ Dollars (millions),12 and 15 and 28,9.2,Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Industry,03_Services Industry Group,2023,123,R,NZ Dollars (millions),12 and 15 and 28,24.8,Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Industry,02_Manufacturing Industry Group,2023,300,R,NZ Dollars (millions),12 and 28,7.8,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,ANZSIC_1_Digit,F_Wholesale Trade,2022,164,R,NZ Dollars (millions),12 and 28,12.3,ANZSIC_1_Digit
_17_Type_of_research:_Experimental,Published_Industry,11_Scientific research and technical services,2023,226,R,NZ Dollars (millions),12 and 26 and 28,10.6,Published_Industry
_12d_Purpose_of_research:_Information_and_communication_services,Size,06_100 or more employees,2022,346,R,NZ Dollars (millions),5 and 12 and 15 and 28,24.6,Size
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Published_Industry,02_Food_Manufacturing,2023,550,R,Number of employees,14 and 28,15,Published_Industry
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Published_Industry,10_Wholesale trade,2023,890,R,Number of employees,14 and 28,9.5,Published_Industry
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2022,192,R,NZ Dollars (millions),12,10.5,ANZSIC_1_Digit
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Sector,01_Business Sector,2022,262,R,NZ Dollars (millions),1 and 12 and 21 and 28,11.8,Sector
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Published_Industry,13_Other services,2023,61,R,NZ Dollars (millions),4 and 12 and 15 and 28,19.2,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Sector,01_Business Sector,2022,1979,R,NZ Dollars (millions),1 and 12 and 15 and 18 and 28,7.6,Sector
_17_Type_of_research:_Experimental,Published_Industry,08_Machinery and equipment manufacturing,2023,374,R,NZ Dollars (millions),12 and 26 and 28,9.2,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Published_Industry,12_Computer services,2023,240,R,NZ Dollars (millions),7 and 9,116,Published_Industry
_15_Type_of_research:_Basic:_Total,Industry,03_Services Industry Group,2023,222,R,NZ Dollars (millions),12 and 22 and 28,16.4,Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Total,Total,2022,327,R,NZ Dollars (millions),12 and 15 and 28,8.2,Total
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,7,R,NZ Dollars (millions),3 and 12 and 15 and 18 and 28,24.1,Published_Industry
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Published_Industry,12_Computer services,2023,5600,R,Number of employees,14 and 28,11.6,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Published_Industry,11_Scientific research and technical services,2023,82,R,NZ Dollars (millions),12 and 15 and 17 and 28,34.2,Published_Industry
_14_Broad_purpose_of_research:_Other,Industry,03_Services Industry Group,2022,241,R,NZ Dollars (millions),12 and 15 and 20 and 28,15.4,Industry
_36_Personnel_by_Qualification:_FTE:_Other_qualifications,Published_Industry,02_Food_Manufacturing,2023,110,R,Number of employees,14 and 28,26.2,Published_Industry
_03a_Current_and_Capital_Expenditure:_Capital_Expenditure:_Land_and_Buildings,Sector,01_Business Sector,2023,25,R,NZ Dollars (millions),1 and 12 and 28,49.6,Sector
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,03_Services Industry Group,2022,127,R,NZ Dollars (millions),12 and 28,31.2,Industry
_12cii_Purpose_of_research:_Transport,Published_Industry,08_Machinery and equipment manufacturing,2022,55,R,NZ Dollars (millions),12 and 15 and 28,23.7,Published_Industry
_13a_Purpose_of_research:_Health,Industry,03_Services Industry Group,2022,172,R,NZ Dollars (millions),12 and 15 and 28,18.2,Industry
_26_Personnel_by_Qualification:_Headcount:_PhD,Industry,02_Manufacturing Industry Group,2022,420,R,Number of employees,14 and 28,11.7,Industry
_31_Personnel_by_Qualification:_Headcount:_Total,Industry,02_Manufacturing Industry Group,2022,7000,R,Number of employees,14 and 28,7.5,Industry
_12d_Purpose_of_research:_Information_and_communication_services,Sector,01_Business Sector,2022,640,R,NZ Dollars (millions),1 and 12 and 15 and 28,18.7,Sector
_16_Type_of_research:_Applied,Published_Industry,07_Metal product manufacturing,2022,28,R,NZ Dollars (millions),12 and 25 and 28,16.7,Published_Industry
_32_Personnel_by_Qualification:_FTE:_PhD,Industry,02_Manufacturing Industry Group,2023,390,R,Number of employees,14 and 28,11.1,Industry
